External ID,Title,Description,Synopsis,Series Name,Season Number,Episode Number,Keywords,Categories,Release Date,Video Filename,Artwork Filename,Series Artwork Filename,Closed Caption Filename,Genre Value,Rating Value,Entry Type,Duration
PTV-F-C-2022-001,Get Christie Love!,"The skillful and beautiful cop, Christie Love, goes undercover to break up a drug ring.","The skillful and beautiful cop, Christie Love, goes undercover to break up a drug ring.",,,,Christie Love,"Animated, Crime",2022/11/01,https://bcaf-vod-films.s3.us-west-1.amazonaws.com/Get-Christie-Love_2P-720p-fullCredits.mp4,https://bcaf-vod-films.s3.us-west-1.amazonaws.com/bcaf-vod-film-cover-images/GetChristieLove-Feature-Img.png,,,Crime,TV14,Movie,01:11:57.013 h
PTV-F-H-2022-001,Night of the Living Dead: The Animated Movie,A disparate group of individuals takes refuge in an abandoned house when corpses begin to leave the graveyard in search of fresh human bodies to devour.,A disparate group of individuals takes refuge in an abandoned house when corpses begin to leave the graveyard in search of fresh human bodies to devour.,,,,Living Dead,"Animated, Horror",2022/11/08,https://bcaf-vod-films.s3.us-west-1.amazonaws.com/NLD-color_2p-1080-with-credits.mp4,https://bcaf-vod-films.s3.us-west-1.amazonaws.com/bcaf-vod-film-cover-images/NLD-title-img.png,,,Horror,TV14,Movie,1:34:46 h
,Scarlet Street: The Animated Movie,"A man in mid-life crisis befriends a young woman, though her fiancé persuades her to con him out of the fortune they mistakenly assume he possesses.","A man in mid-life crisis befriends a young woman, though her fiancé persuades her to con him out of the fortune they mistakenly assume he possesses.",,,,Scarlet Street,"Animated, Crime",2023/03/06,https://bcaf-vod-films.s3.us-west-1.amazonaws.com/Scarlet-Street_2p-1080-full-credits.mp4,https://bcaf-vod-films.s3.us-west-1.amazonaws.com/bcaf-vod-film-cover-images/Scarlet-Street_Title-Img.jpg,,,Crime,TV14,Movie,01:41:29.884 h
,The Little Shop of Horrors: animated movie,"A clumsy young man nurtures a plant and discovers that it's carnivorous, forcing him to kill to feed it.","A clumsy young man nurtures a plant and discovers that it's carnivorous, forcing him to kill to feed it.",,,,Little Shop of Horrors,"Animated, Comedy, Horror",2023/03/06,https://player.castr.com/vod/sYoAsdeRzijdXhPK,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/Little-Shop-of-Horrors_Title-Img-colorbk.png,,,"Animated, Comedy, Horror",,,
,Dementia 13: the animated movie,"A scheming widow hatches a bold plan to acquire her late husband's inheritance, unaware that she is being targeted by an ax murderer who lurks in the family's estate.",A scheming widow is being targeted by an ax murderer who lurks in the family's estate.,,,,Dementia 13,"Animated, Horror",2023/03/06,https://player.castr.com/vod/VnM3pPna0sxTuA2B,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/dementia-13_Title-Img.png,,,"Animated, Horror",,,
,Hercules in the Haunted World: the animated movie,Hercules must journey into Hades itself to retrieve the magic stone that will free his love from the powers of darkness,Hercules must journey into Hades itself to retrieve the magic stone that will free his love from the powers of darkness,,,,Hercules,"Animated, Fantasy, Horror",2023/03/06,https://player.castr.com/vod/js8GFS4OHagqE2g6,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/Hercules-in-the-Haunted-World_Title-Img.png,,,"Animated, Fantasy, Horror",,,
,Hercules Against the Moon Men: the animated movie,"Hercules is summoned to oppose the evil Queen Samara, who has allied herself with aliens and is sacrificing her own people in a bid to awaken a moon goddess.",Hercules is summoned to oppose the evil Queen Samara.,,,,Hercules,"Animated, Fantasy, Adventure",2023/03/06,https://player.castr.com/vod/EJsH7iQJyJMHd4e1,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/Hercules-against-the-Moon-Men_Title-Img.png,,,"Animated, Fantasy, Adventure",,,
,Lady Frankenstein: the animated movie,"Baron Frankenstein's daughter and his assistant/her lover continue his experiments in an attempt to rebuild his legacy after he is killed by his psychotic, murderous first monster.",Baron Frankenstein's daughter attempts to rebuild his legacy after he is killed by first monster.,,,,Frankenstein,"animated, Horror",2023/03/06,https://player.castr.com/vod/fQAdqFOdF6mLoiuq,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/Lady-Frankenstein_Title-Img.png,,,"animated, Horror",,,
,Brother from Another Planet: the animated movie,A mute alien with the appearance of a black human is chased by outer-space bounty hunters through the streets of Harlem.,A mute alien with the appearance of a black human is chased by outer-space bounty hunters through the streets of Harlem.,,,,Brother,"Animated, Science Fiction",2023/03/06,https://player.castr.com/vod/qXgmKu5Sd5B5cM9D,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/Brother-from-Another-Planet-Feature-Img.jpg,,,"Animated, Science Fiction",,,
,The Unholy Four: the animated movie,"Having been broken out of prison by bank robbers, an amnesiac is joined by three other convicts in a visit to his hometown, where he is caught in a feud between his family and the father of one of the robbers.",An amnesiac bank robber is  caught in a feud between his family and the father of one of the robbers.,,,,Unholy Four,"Animated, Western",2023/03/06,https://player.castr.com/vod/o9BubuFs3onQEOSW,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/The-Unholy-Four_title-img.png,,,"Animated, Western",,,
