External ID,Title,Description,Synopsis,Series Name,Season Number,Episode Number,Keywords,Categories,Release Date,Video Filename,Artwork Filename,Series Artwork Filename,Closed Caption Filename,Genre Value,Rating Value,Entry Type,Duration,Publisher
,Dementia 13: the animated movie,"A scheming widow hatches a bold plan to acquire her late husband's inheritance, unaware that she is being targeted by an ax murderer who lurks in the family's estate.",A scheming widow is being targeted by an ax murderer who lurks in the family's estate.,,,,Dementia 13,"Animated, Horror",3/6/23,https://player.castr.com/vod/VnM3pPna0sxTuA2B,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/dementia-13_Title-Img.png,https://www.dropbox.com/scl/fi/fdy2zww2hwlmx4zxrc9oo/Dementia13-082724-1.png?rlkey=are371apqub3aowf9v6bl9amf&dl=0,,"Animated, Horror",,,,PECAN
,Hercules in the Haunted World: the animated movie,Hercules must journey into Hades itself to retrieve the magic stone that will free his love from the powers of darkness,Hercules must journey into Hades itself to retrieve the magic stone that will free his love from the powers of darkness,,,,Hercules,"Animated, Fantasy, Horror",3/6/23,https://player.castr.com/vod/js8GFS4OHagqE2g6,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/Hercules-in-the-Haunted-World_Title-Img.png,https://www.dropbox.com/scl/fi/ojui3gyjbmsq4h8z6w70q/HerculusHauntedWorld-082724-1.png?rlkey=y55caadmyyrtz134nxynqj09g&dl=0,,"Animated, Fantasy, Horror",,,,PECAN
,Hercules Against the Moon Men: the animated movie,"Hercules is summoned to oppose the evil Queen Samara, who has allied herself with aliens and is sacrificing her own people in a bid to awaken a moon goddess.",Hercules is summoned to oppose the evil Queen Samara.,,,,Hercules,"Animated, Fantasy, Adventure",3/6/23,https://player.castr.com/vod/EJsH7iQJyJMHd4e1,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/Hercules-against-the-Moon-Men_Title-Img.png,https://www.dropbox.com/scl/fi/k1aoaf50v7kgqefk8v47o/HerculesAgainstMoonMen-082724-1.png?rlkey=044v63w6tt51bb3sskb5xqlm2&dl=0,,"Animated, Fantasy, Adventure",,,,PECAN
,Lady Frankenstein: the animated movie,"Baron Frankenstein's daughter and his assistant/her lover continue his experiments in an attempt to rebuild his legacy after he is killed by his psychotic, murderous first monster.",Baron Frankenstein's daughter attempts to rebuild his legacy after he is killed by first monster.,,,,Frankenstein,"animated, Horror",3/6/23,https://player.castr.com/vod/fQAdqFOdF6mLoiuq,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/Lady-Frankenstein_Title-Img.png,https://www.dropbox.com/scl/fi/9wkge8uthyuq76ghl1bk1/Lady-Frankenstein_Title-Img-v2.png?rlkey=z24wttq8gbkplmrxrol74ucsv&dl=0,,"Animated, Horror",,,,PECAN
,Brother from Another Planet: the animated movie,A mute alien with the appearance of a black human is chased by outer-space bounty hunters through the streets of Harlem.,A mute alien with the appearance of a black human is chased by outer-space bounty hunters through the streets of Harlem.,,,,Brother,"Animated, Science Fiction",3/6/23,https://player.castr.com/vod/qXgmKu5Sd5B5cM9D,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/Brother-from-Another-Planet-Feature-Img.jpg,https://www.dropbox.com/scl/fi/8tlnekh46uuae3b6hcyi7/Brother-from-Another-Planet-Feature-Img-v2.png?rlkey=msvfune8q961sxp7kqvohv3sy&dl=0,,"Animated, Science Fiction",,,,PECAN
,The Unholy Four: the animated movie,"Having been broken out of prison by bank robbers, an amnesiac is joined by three other convicts in a visit to his hometown, where he is caught in a feud between his family and the father of one of the robbers.",An amnesiac bank robber is  caught in a feud between his family and the father of one of the robbers.,,,,Unholy Four,"Animated, Western",3/6/23,https://player.castr.com/vod/o9BubuFs3onQEOSW,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/The-Unholy-Four_title-img.png,https://www.dropbox.com/scl/fi/fcvsfp1r6240tl3ewcwyx/TheUnholyFour-082724-1.png?rlkey=pzt2iewuawhbw3oigfnaqtvjt&dl=0,,"Animated, Western",,,,PECAN
,The Screaming Skull: the animated movie,"A newly married couple arrives at the home of the husband's late wife, where the gardens have been maintained by a gardener faithful to the dead woman's memory. Soon, eerie events lead the new wife to think she's losing her mind.",Eerie events leads a new wife to think she's losing her mind.,,,,Screaming Skull,"Animated, Horror",3/6/23,https://player.castr.com/vod/yB0tZ6fDCTwxOt80,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/The-Screaming-Skull_title-img.png,https://www.dropbox.com/scl/fi/7u70k9gmf3rngqqz6yx1a/ScreamingSkull-082724-1.png?rlkey=d24qbv4jtkdgceihb4vnzusqk&dl=0,,"Animated, Horror",,,,PECAN
,Lola Colt: the animated movie,"Lola, a saloon dancer arrives in the town of Sant'Anna with some other dancers. The town is however terrorized by El Diablo an outlaw who wants to sell the surrounding land to the railroad company. Lola helps the colonists rebel together with Rod, a youth who has fallen in love with her.",Lola helps a terrorized town fight against El Diablo,,,,Lola Colt,"Animated, Western",3/6/23,https://player.castr.com/vod/2wEHV5DikWK7FXGv,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/Lola-Colt_title-img.png,https://www.dropbox.com/scl/fi/nl7fz7kxyfols80j6zjyl/Lola-Colt_title-img-portrait.png?rlkey=f59cov123si3wqpqklkypr334&dl=0,,"Animated, Western",,,,PECAN
,The Chase: the animated movie,Chuck Scott gets a job as chauffeur to tough guy Eddie Roman; but Chuck's involvement with Eddie's fearful wife becomes a nightmare.,Chuck Scott gets a job as chauffeur to tough guy Eddie Roman; but Chuck's involvement with Eddie's fearful wife becomes a nightmare.,,,,Chase,"Animated, Crime, Thriller",3/6/23,https://player.castr.com/vod/qam6q5x4gLyRcOod,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/The-Chase_title-img.png,https://www.dropbox.com/scl/fi/fh0dxgmku3x0t2kyjcjmf/TheChase-082724-1.png?rlkey=zsdh60tab3ba1hip3qgvknj0p&dl=0,,"Animated, Crime, Thriller",,,,PECAN
,Love Affair: the animated movie,A French playboy and an American former nightclub singer fall in love aboard a ship.,A French playboy and an American former nightclub singer fall in love aboard a ship.,,,,Love Affair,"Animated, Romance",3/6/23,https://player.castr.com/vod/bgWMuJgMYfIcnGwZ,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/Love-Affair_title-image.png,https://www.dropbox.com/scl/fi/vsvgf7sokpf2p94c29svt/LoveAffair-082724-1.png?rlkey=8rn4viub8spdqzaxrf4zkeiem&dl=0,,"Animated, Romance",,,,PECAN
,Captain Scarlett: the animated movie,"Captain Scarlett returns from gallivanting around the country-side after the Napoleonic wars and finds life in southern France very different. He saves a beautiful princess from an arranged marriage to an evil count, protects many of the people from being persecuted by the Duke of Corlais, and eventually rids the country of the scourge of Corlais' power.",Captain Scarlett saves a beautiful Princess from an arranged marriage.,,,,Captain Scarlett,"Animated, Adventure, Romance",3/6/23,https://player.castr.com/vod/a5nQf1iZHaaVQ0r3,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/Captain-Scarlett_title-img.png,https://www.dropbox.com/scl/fi/laulsx5etm5rkhzlew7yz/Captain-Scarlett-082424-1.png?rlkey=tp7s4pa8e1288l5vbtetp8slz&dl=0,,"Animated, Adventure, Romance",,,,PECAN
,Charade: the animated movie,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,,,,Charade,"Animated, Mystery, Romance",3/6/23,https://player.castr.com/vod/4ukEb4e3TW0NaWPo,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/CHARADE-titleImg-noLogo.jpg,https://www.dropbox.com/scl/fi/d0ppq2wcsxpauwxif7fvp/Charade-082424-1.png?rlkey=w4mblxb3in4z7yrbdv70m6po0&dl=0,,"Animated, Mystery, Romance",,,,PECAN
,The Man with the Golden Arm: the animated movie,A junkie must face his true self to kick his drug addiction.,A junkie must face his true self to kick his drug addiction.,,,,Golden Arm,"Animated, Thriller, ",3/6/23,https://player.castr.com/vod/30nc5s8NG3TI150E,https://storage.googleapis.com/pecan_titleimages/bcaf_digital_movie_images/Man-with-the-Golden-Arm-Title-Img.png,https://www.dropbox.com/scl/fi/yoc2d5extdxv1h95lip9r/TheManWithGoldenArm-082724-1.png?rlkey=b3bfbzmnqm2cldi0npwwfgz4d&dl=0,,"Animated, Thriller, ",,,,PECAN
