NAME,ISSUE TITLE,ISSUE NUMBER,PAGE COUNT,AGE RATING,COVER DATE,ISSUE SUMMARY,CHARACTERS,PUBLISHER,WRITER(S),PENCILLER(S),INKER(S),COLORIST(S),LETTERER(S),EDITOR(S),COVER ARTIST(S),URL,COVER URL
Ab Irato,"""From Anger""",1,32,17+,2/20/2020,"In a dystopian future of mounting sea levels, the rich have access to a rejuvenating vaccine that can allow lifespans of hundreds of years. A young man named Riel arrives in the urban metropolis of Montreal and meets a young woman, Neve, who is allied with rebel insurgents (the ""Bastards of God"") fighting the corporate powers that control the city and the vaccine.",,Magnetic Press,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,,Thierry Labrosse,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Ab+Irato+001+(2017)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Ab+Irato+001-001.jpg
Ab Irato,"""From Anger""",2,34,17+,2/17/2020,Riel follows Neve into the rebel ranks just as the security forces of the city begin their murderous search for the mysterious Gana.,,Magnetic Press,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,,Thierry Labrosse,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Ab+Irato+002+(2017)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Ab+Irato+002-000.jpg
Ab Irato,"""From Anger""",3,32,17+,2/17/2020,"Gana raids the headquarters of Juvex Corp even as the Bastards of God, under mounting pressure from the police, fall into infighting and take hostages",,Magnetic Press,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,,Thierry Labrosse,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Ab+Irato+003+(2017)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Ab+Irato+003-000.jpg
Ab Irato,"""From Anger""",4,32,17+,2/17/2020,"Riel learns to his horror that the police have decided to solve the hostage standoff with extreme prejudice: no traces, no witnesses, no rebels, no hostages . . . and Gana finds that mercenaries hired by Juvex Corp are closing in on her.",,Magnetic Press,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,,Thierry Labrosse,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Ab+Irato+004+(2017)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Ab+Irato+004-000.jpg
Ab Irato,"""From Anger""",5,32,17+,2/17/2020,"The radical new leader of the Bastards of God threatens to execute a hostage every hour if his demands are not met, N√®ve tries to escape from her captors, and Riel searches desperately for a solution.",,Magnetic Press,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,,Thierry Labrosse,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Ab+Irato+005+(2017)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Ab+Irato+005-000.jpg
Ab Irato,"""From Anger""",6,32,17+,2/17/2020,"In the finale to Ab Irato, Riel tries to save N√®ve even as Gana‚Äôs final confrontation with the CEO of Juvex comes to its bloody conclusion, and a city pushed to the brink by rage and anger threatens to implode.",,Magnetic Press,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,,Thierry Labrosse,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Ab+Irato+006+(2017)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Ab+Irato+006-000.jpg
Accell,,1,32,12+,6/14/2017,"Daniel DosSantos is a young man living at the speed of life. After gaining powers from exposure to an extraterrestrial object, DosSantos became the rapid action superhero called Accell, the first of a new public kind of self-appointed crime fighter. Unfortunately, there are consequences to moving faster than sound. Accell is about to learn that danger exists on the flipside of having superpowers and will have to grow up quickly to survive.",,Lion Forge Comics,Joe Casey,Damion Scott,Robert Campanella,Sigmund Torre,,,"Robert Campanella
Damion Scott
Sigmund Torre",https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Accell+v01+-+Home+Schooling+(2017)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Accell+001-000.jpg
Accell,,3,29,12+,8/9/2017,"Accell can run faster than fast, but he’s not faster than the speed demon hot on his tail. With the help of a mysterious elder, the world’s first superhero fights for his life. This is the night that will change Accell’s life forever, and everyone doesn’t make it out alive.",,Lion Forge Comics,Joe Casey,Damion Scott,Robert Campanella,Sigmund Torre,,,Damion Scott,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Accell+003+(2017)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Accell+003-000.jpg
Accell,,4,31,12+,12/13/2017,"L.A.’s newest super-fast superhero Accell returns home after a life-changing metaphysical experience, just in time to help a friend battle some personal demons. nToo bad Accell has no idea new enemies are gathering to make his life a living hell, especially the crime lord known as Glazz.",,Lion Forge Comics,Joe Casey,Damion Scott,Robert Campanella,Sigmund Torre,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Accell+004+(2017)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Accell+004-000.jpg
Accell,,5,32,12+,11/8/2017,"Daniel DosSantos is the speedster superhero Accell, but his recent adventures have him shaken to the core, so what’s the solution? Go clubbing with the girlfriend!Too bad the supervillain Midnight Blue likes the clubs, too, and she doesn’t have patience for any superheroes who choose to step in her direction.",,Lion Forge Comics,Joe Casey,Damion Scott,Robert Campanella,Sigmund Torre,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Accell+005+(2017)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Accell+005-000.jpg
